	time	dac1	dac2	dac3	dac4	adc1.3	adc2.3	adc3.3	adc4.3	imu1accx	imu1accy	imu1accz	imu1gyrox	imu1gyroy	imu1gyroz	imu2accx	imu2accy	imu2accz	imu2gyrox	imu2gyroy	imu2gyroz	imu3accx	imu3accy	imu3accz	imu3gyrox	imu3gyroy	imu3gyroz	log
0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.006	9.859322436523437	0.054468087768554684	0.15741875915527342	2.6397705078125	-3.604888916015625	-0.69427490234375	9.77492682800293	0.39983167724609375	0.24779987182617186	0.885009765625	-4.802703857421875	-2.956390380859375	10.020332498168944	-0.07362170104980469	-0.15203180541992187	3.734588623046875	-4.4708251953125	-2.13623046875	Estabilizou em 4s, 565 rpm
1	0.004	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.854534033203125	0.047884033203124995	0.14963760375976562	2.62451171875	-3.650665283203125	-0.91552734375	9.783905084228515	0.38367081604003905	0.21727380065917967	1.125335693359375	-4.84466552734375	-2.918243408203125	10.018536846923828	-0.08259995727539061	-0.15562310791015624	3.566741943359375	-4.638671875	-1.934051513671875	Started
2	0.008	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.006	9.853935482788085	0.04908113403320312	0.13766659545898435	2.521514892578125	-3.66973876953125	-0.782012939453125	9.78031378173828	0.37888241271972656	0.2154781494140625	0.9613037109375	-4.79888916015625	-3.0059814453125	10.019733947753906	-0.07541735229492187	-0.1801636749267578	3.79180908203125	-4.589080810546875	-2.262115478515625	IMU1|LSM6DS3|0x6A|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
3	0.012	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.006	9.854534033203125	0.044292730712890624	0.12868833923339842	2.70843505859375	-3.89862060546875	-0.881195068359375	9.773131176757811	0.3812766143798828	0.19692308654785154	1.277923583984375	-4.974365234375	-2.925872802734375	10.015544094848632	-0.07481880187988281	-0.19333178405761717	3.8909912109375	-4.608154296875	-2.3040771484375	IMU2|LSM6DS3|0x6B|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
4	0.016	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.006	9.847351428222655	0.04369418029785156	0.11731588134765625	2.86102294921875	-3.6163330078125	-0.858306884765625	9.77432827758789	0.38247371520996093	0.18854338073730467	0.84686279296875	-5.207061767578125	-3.070831298828125	10.01733974609375	-0.08559270935058594	-0.21607669982910155	3.482818603515625	-4.581451416015625	-2.101898193359375	IMU3|LSM6DS3|0x6B|I2C-2|±2g (±19,6m/s²)|±125º/s|400Hz
5	0.02	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.006	9.859322436523437	0.05027823486328125	0.10714052429199218	2.490997314453125	-3.688812255859375	-1.0223388671875	9.776123928833007	0.3968389251708984	0.17657237243652343	0.858306884765625	-5.07354736328125	-2.994537353515625	10.014945544433592	-0.08200140686035155	-0.2346317626953125	3.662109375	-4.730224609375	-2.307891845703125	ADC|ADS1015|0|0|1|0|±6,144 V|2400 SPS
6	0.024	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.003	9.855731134033203	0.055066638183593745	0.09816226806640624	2.685546875	-3.84521484375	-0.812530517578125	9.783905084228515	0.4010287780761719	0.16460136413574217	0.9765625	-5.02777099609375	-2.7923583984375	10.032902056884765	-0.07900865478515624	-0.2442085693359375	3.570556640625	-4.57763671875	-1.949310302734375	Gen1|Disabled
7	0.028	0.0	0.0	0.0	0.0	0.006	0.006	0.006	0.003	9.859322436523437	0.047884033203124995	0.07900865478515624	2.44140625	-3.662109375	-0.83160400390625	9.782707983398437	0.4100070343017578	0.14784195251464843	1.087188720703125	-5.02777099609375	-2.758026123046875	10.02332525024414	-0.07900865478515624	-0.26216508178710934	3.51715087890625	-4.558563232421875	-2.262115478515625	Gen2|Enabled|Noise|0.0|10.0|1668
8	0.032	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.003	9.858125335693359	0.06404489440917968	0.062249243164062495	2.460479736328125	-3.66973876953125	-0.995635986328125	9.783905084228515	0.412401235961914	0.1514332550048828	0.92315673828125	-5.096435546875	-2.9296875	10.022128149414062	-0.0652419952392578	-0.2705447875976562	3.597259521484375	-4.680633544921875	-2.227783203125	Gen3|Enabled|Noise|0.0|10.0|128
9	0.036000000000000004	0.0	0.0	0.0	0.0	0.006	0.003	0.006	0.006	9.866505041503906	0.06045359191894531	0.05386953735351562	2.422332763671875	-3.71551513671875	-0.827789306640625	9.785102185058593	0.4129997863769531	0.13587094421386717	0.701904296875	-5.123138427734375	-2.704620361328125	10.01733974609375	-0.061650692749023434	-0.26874913635253905	3.59344482421875	-4.8065185546875	-2.37274169921875	Gen4|Enabled|Noise|0.0|10.0|128
10	0.04	0.0	0.0	0.0	0.0	0.006	0.006	0.006	0.003	9.864709390258788	0.06464344482421874	0.04189852905273437	2.735137939453125	-3.70025634765625	-1.049041748046875	9.785102185058593	0.41958384094238277	0.12509703674316405	0.736236572265625	-5.08880615234375	-2.948760986328125	10.011952792358398	-0.062249243164062495	-0.2753331909179687	3.448486328125	-4.810333251953125	-2.09808349609375	Ctrl|Disabled
11	0.044	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.854534033203125	0.08140285644531249	0.030526071166992186	2.445220947265625	-3.505706787109375	-0.560760498046875	9.788094937133788	0.42975919799804685	0.11731588134765625	0.9613037109375	-5.01251220703125	-2.925872802734375	10.007164389038085	-0.05087678527832031	-0.2723404388427734	3.757476806640625	-4.741668701171875	-2.2125244140625	
12	0.048	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.003	9.861716638183593	0.09157821350097656	0.023942016601562498	2.5787353515625	-3.91387939453125	-0.965118408203125	9.784503634643555	0.43933600463867184	0.12150573425292968	0.8544921875	-4.825592041015625	-2.735137939453125	10.016142645263672	-0.03890577697753906	-0.26815058593749996	3.265380859375	-4.680633544921875	-2.384185791015625	
13	0.052000000000000005	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.006	9.853935482788085	0.10474632263183593	0.013766659545898436	2.67791748046875	-3.658294677734375	-0.858306884765625	9.783905084228515	0.4542997650146484	0.1149216796875	0.8544921875	-4.833221435546875	-2.834320068359375	10.026916552734374	-0.03172317199707031	-0.28311434631347654	3.696441650390625	-4.75311279296875	-2.132415771484375	
14	0.056	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.003	9.859920986938477	0.11791443176269531	-0.001197100830078125	2.40325927734375	-3.83758544921875	-0.835418701171875	9.787496386718749	0.45968671875	0.1197100830078125	0.896453857421875	-5.313873291015625	-2.750396728515625	10.026916552734374	-0.01915361328125	-0.28490999755859375	3.48663330078125	-4.547119140625	-2.18963623046875	
15	0.06	0.0	0.0	0.0	0.0	-0.003	0.006	0.006	0.003	9.85632968444824	0.11851298217773437	-0.00718260498046875	2.72369384765625	-3.7994384765625	-0.95367431640625	9.782707983398437	0.4722562774658203	0.10594342346191406	0.90789794921875	-5.01251220703125	-2.93731689453125	10.029310754394531	-0.004189852905273437	-0.2855085479736328	3.79180908203125	-4.69207763671875	-2.185821533203125	
16	0.064	0.0	0.0	0.0	0.0	0.003	0.006	0.003	0.006	9.861716638183593	0.13108254089355467	0.006584054565429687	2.773284912109375	-3.5858154296875	-0.81634521484375	9.785700735473633	0.49021278991699213	0.10474632263183593	0.728607177734375	-5.313873291015625	-2.8839111328125	10.026916552734374	0.0017956512451171875	-0.28909985046386716	3.66973876953125	-4.70733642578125	-2.239227294921875	
17	0.068	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.006	9.860519537353515	0.14245499877929688	0.008379705810546874	2.658843994140625	-3.704071044921875	-0.823974609375	9.77492682800293	0.4991910461425781	0.12210428466796874	0.9765625	-4.70733642578125	-2.9144287109375	10.02332525024414	0.01915361328125	-0.2825157958984375	3.6468505859375	-4.5013427734375	-1.983642578125	
18	0.07200000000000001	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.006	9.865307940673828	0.15023615417480468	0.011971008300781249	2.471923828125	-3.692626953125	-0.9307861328125	9.776123928833007	0.5141548065185546	0.1083376251220703	0.766754150390625	-4.9285888671875	-3.02886962890625	10.025120901489258	0.0383072265625	-0.29089550170898437	3.612518310546875	-4.711151123046875	-2.178192138671875	
19	0.076	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.006	9.85752678527832	0.17776947326660156	0.01975216369628906	2.7923583984375	-3.566741943359375	-1.01470947265625	9.785102185058593	0.5297171173095703	0.09696516723632811	1.201629638671875	-5.0201416015625	-2.79998779296875	10.027515103149414	0.04608838195800781	-0.28012159423828126	3.68499755859375	-4.5623779296875	-2.178192138671875	
20	0.08	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.006	9.859322436523437	0.18614917907714842	0.03531447448730469	2.5482177734375	-3.74603271484375	-0.713348388671875	9.777321029663085	0.5440823272705078	0.09935936889648436	1.049041748046875	-5.062103271484375	-2.887725830078125	10.025719451904296	0.05327098693847656	-0.28431144714355466	3.4942626953125	-4.425048828125	-2.1209716796875	
21	0.084	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.009000000000000001	9.852139831542969	0.21308394775390624	0.044292730712890624	2.9449462890625	-3.91387939453125	-0.946044921875	9.77432827758789	0.5404910247802734	0.10594342346191406	0.9307861328125	-4.894256591796875	-3.025054931640625	10.035296258544921	0.031124621582031248	-0.30406361083984373	3.604888916015625	-4.89044189453125	-2.22015380859375	
22	0.088	0.0	0.0	0.0	0.0	0.003	0.006	0.006	0.003	9.842563024902343	0.25139117431640623	0.05327098693847656	2.70843505859375	-3.772735595703125	-0.79345703125	9.752780462646484	0.6296750366210937	0.13407529296874998	0.9002685546875	-4.848480224609375	-2.918243408203125	9.9981861328125	0.16639701538085935	-0.2699462371826172	3.711700439453125	-4.75311279296875	-2.197265625	
23	0.092	0.0	0.0	0.0	0.0	0.009000000000000001	0.006	0.003	0.003	9.859920986938477	0.14604630126953125	0.013168109130859374	2.79998779296875	-3.753662109375	-0.9918212890625	9.770138424682617	0.4638765716552734	0.11192892761230468	0.81634521484375	-4.9285888671875	-2.70843505859375	9.986215124511718	0.010773907470703125	-0.23523031311035156	3.643035888671875	-4.6234130859375	-2.079010009765625	
24	0.096	0.0	0.0	0.0	0.0	0.003	0.006	0.003	0.003	9.843760125732421	0.2262520568847656	0.086191259765625	2.864837646484375	-3.8604736328125	-1.01470947265625	9.767145672607422	0.5668272430419922	0.18375497741699218	1.03759765625	-4.9896240234375	-3.11279296875	10.001777435302733	0.11611878051757812	-0.2280477081298828	3.597259521484375	-4.44793701171875	-2.3651123046875	
25	0.1	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.873687646484374	0.18136077575683593	0.007781155395507812	2.414703369140625	-3.8299560546875	-0.6561279296875	9.752780462646484	0.5662286926269531	0.1657984649658203	1.07574462890625	-4.99725341796875	-2.933502197265625	9.968857162475585	0.1227028350830078	-0.17597382202148437	3.71551513671875	-4.64630126953125	-2.025604248046875	
26	0.10400000000000001	0.0	0.0	0.0	0.0	0.009000000000000001	0.006	0.003	0.006	9.830592016601562	0.19033903198242186	0.12150573425292968	2.956390380859375	-3.879547119140625	-0.926971435546875	9.752780462646484	0.5117606048583984	0.20829554443359374	0.904083251953125	-4.863739013671875	-2.902984619140625	9.987412225341796	0.04668693237304687	-0.1975216369628906	3.72314453125	-4.711151123046875	-2.315521240234375	
