	time	dac1	dac2	dac3	dac4	adc1.3	adc2.3	adc3.3	adc4.3	imu1accx	imu1accy	imu1accz	imu1gyrox	imu1gyroy	imu1gyroz	imu2accx	imu2accy	imu2accz	imu2gyrox	imu2gyroy	imu2gyroz	imu3accx	imu3accy	imu3accz	imu3gyrox	imu3gyroy	imu3gyroz	log
0	0.0	0.0	0.0	0.0	0.0	0.006	0.006	0.006	0.006	9.83837317199707	0.10295067138671875	0.10235212097167969	2.475738525390625	-3.51715087890625	-0.835418701171875	9.777919580078125	0.47764323120117186	0.1322796417236328	0.728607177734375	-4.89044189453125	-2.76947021484375	10.008361489868163	0.06943184814453125	-0.28490999755859375	3.643035888671875	-4.650115966796875	-1.842498779296875	Estabilizou em 4s, 631 rpm
1	0.004	0.0	0.0	0.0	0.0	0.003	0.006	0.006	0.003	9.847351428222655	0.19692308654785154	0.10295067138671875	3.643035888671875	-4.2877197265625	-0.90789794921875	9.821613760375977	0.3908534210205078	0.09457096557617187	0.93841552734375	-4.894256591796875	-2.96783447265625	10.034697708129881	-0.044292730712890624	-0.2561795776367187	3.719329833984375	-4.32586669921875	-2.323150634765625	Started
2	0.008	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.852738381958007	0.12689268798828124	0.11252747802734374	2.513885498046875	-3.780364990234375	-0.789642333984375	9.787496386718749	0.5488707305908203	0.13108254089355467	0.957489013671875	-4.856109619140625	-2.7923583984375	10.043675964355469	0.14963760375976562	-0.27892449340820313	3.643035888671875	-4.741668701171875	-2.086639404296875	IMU1|LSM6DS3|0x6A|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
3	0.012	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.89523546142578	-0.06763619689941405	-0.003591302490234375	1.544952392578125	-3.15093994140625	-0.87738037109375	9.822212310791015	0.3920505218505859	0.09696516723632811	0.81634521484375	-4.848480224609375	-2.92205810546875	10.012551342773437	-0.03531447448730469	-0.2603694305419922	3.814697265625	-4.497528076171875	-2.017974853515625	IMU2|LSM6DS3|0x6B|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
4	0.016	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.006	9.823409411621093	0.1274912384033203	0.17597382202148437	2.513885498046875	-3.73077392578125	-0.629425048828125	9.777321029663085	0.5500678314208984	0.17477672119140625	0.92315673828125	-5.084991455078125	-2.750396728515625	10.041281762695311	0.14484920043945312	-0.2555810272216797	3.475189208984375	-4.604339599609375	-2.17437744140625	IMU3|LSM6DS3|0x6B|I2C-2|±2g (±19,6m/s²)|±125º/s|400Hz
5	0.02	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.006	9.904213717651366	-0.12449848632812499	0.0005985504150390625	1.13677978515625	-2.74658203125	-1.049041748046875	9.853935482788085	0.3848679168701172	0.086191259765625	0.812530517578125	-4.96673583984375	-2.90679931640625	10.110115060424803	-0.1406593475341797	-0.3238157745361328	3.387451171875	-4.489898681640625	-2.147674560546875	ADC|ADS1015|0|0|1|0|±6,144 V|2400 SPS
6	0.024	0.0	0.0	0.0	0.0	0.006	0.003	0.006	0.003	9.81862100830078	0.15322890625	0.20949264526367187	2.010345458984375	-3.18145751953125	-0.736236572265625	9.708487731933593	0.6482300994873047	0.2861070983886719	0.60272216796875	-4.8370361328125	-2.780914306640625	10.017938296508788	0.17956512451171874	-0.2424129180908203	3.635406494140625	-4.627227783203125	-2.03704833984375	Gen1|Disabled
7	0.028	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.885658654785155	-0.1466448516845703	0.0143652099609375	0.81634521484375	-2.521514892578125	-0.8544921875	9.85094273071289	0.3962403747558593	0.11671733093261719	1.071929931640625	-4.92095947265625	-3.108978271484375	10.101136804199218	-0.14484920043945312	-0.32082302246093747	3.34930419921875	-4.474639892578125	-2.117156982421875	Gen2|Enabled|Noise|0.0|10.0|1668
8	0.032	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.006	9.807847100830077	0.1466448516845703	0.15023615417480468	1.667022705078125	-3.021240234375	-0.81634521484375	9.721057290649414	0.6410474945068358	0.31663316955566406	0.77056884765625	-4.96673583984375	-2.872467041015625	10.064625228881836	0.1484405029296875	-0.17776947326660156	3.368377685546875	-4.64630126953125	-2.03704833984375	Gen3|Enabled|Noise|0.0|10.0|128
9	0.036000000000000004	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.006	9.903615167236328	-0.22026655273437498	0.00239420166015625	0.8392333984375	-2.28118896484375	-0.7781982421875	9.860519537353515	0.2759317413330078	0.10953472595214843	1.06048583984375	-4.840850830078125	-2.89154052734375	10.105925207519531	-0.18375497741699218	-0.3136404174804687	3.662109375	-4.734039306640625	-2.315521240234375	Gen4|Enabled|Noise|0.0|10.0|128
10	0.04	0.0	0.0	0.0	0.0	0.006	0.006	0.006	0.003	9.816825357055663	0.15263035583496093	0.14784195251464843	1.6937255859375	-3.021240234375	-0.705718994140625	9.683348614501952	0.6913257293701172	0.35134909362792965	0.92315673828125	-4.993438720703125	-2.925872802734375	10.038887561035155	0.19632453613281248	-0.15382745666503905	3.444671630859375	-4.76837158203125	-1.953125	Ctrl|Disabled
11	0.044	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.873089096069336	0.20769699401855468	0.19093758239746092	2.628326416015625	-3.509521484375	-0.640869140625	9.847949978637695	0.24660277099609373	0.1149216796875	0.926971435546875	-4.9285888671875	-2.7923583984375	10.053851321411132	-0.10953472595214843	-0.2998737579345703	3.79180908203125	-4.917144775390625	-2.201080322265625	
12	0.048	0.0	0.0	0.0	0.0	0.003	0.006	0.003	0.003	9.84435867614746	0.10175357055664062	0.12389993591308593	1.789093017578125	-3.19671630859375	-0.8544921875	9.767145672607422	0.5943605621337891	0.1945288848876953	1.129150390625	-4.8675537109375	-3.16619873046875	10.053252770996092	0.1406593475341797	-0.1640028137207031	3.63922119140625	-4.634857177734375	-2.162933349609375	
13	0.052000000000000005	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.860519537353515	0.26396073303222656	0.17417817077636719	2.66265869140625	-3.5552978515625	-0.41961669921875	9.855731134033203	0.27293898925781246	0.09576806640624999	0.732421875	-5.084991455078125	-2.933502197265625	10.035894808959961	-0.08918401184082031	-0.31543606872558594	3.810882568359375	-4.749298095703125	-1.8768310546875	
