	time	dac1	dac2	dac3	dac4	adc1.3	adc2.3	adc3.3	adc4.3	imu1accx	imu1accy	imu1accz	imu1gyrox	imu1gyroy	imu1gyroz	imu2accx	imu2accy	imu2accz	imu2gyrox	imu2gyroy	imu2gyroz	imu3accx	imu3accy	imu3accz	imu3gyrox	imu3gyroy	imu3gyroz	log
0	0.0	0.0	0.0	0.0	0.0	0.003	0.006	0.003	0.006	9.932345587158203	0.19692308654785154	0.0053869537353515625	2.4871826171875	-3.665924072265625	-0.751495361328125	9.783905084228515	0.2693476867675781	0.2059013427734375	0.698089599609375	-5.146026611328125	-2.857208251953125	10.09993970336914	-0.35015199279785153	-0.35015199279785153	3.421783447265625	-4.749298095703125	-1.97601318359375	Estabilizou em 10s, 2428 rpm
1	0.004	0.0	0.0	0.0	0.0	0.006	0.003	0.006	0.006	9.860519537353515	0.023343466186523436	0.05027823486328125	0.732421875	-2.162933349609375	-0.7781982421875	9.730035546875	0.6296750366210937	0.24361001892089842	1.239776611328125	-4.764556884765625	-3.055572509765625	9.90900212097168	0.14604630126953125	-0.14544775085449219	3.74603271484375	-4.5166015625	-2.277374267578125	Started
2	0.008	0.0	0.0	0.0	0.0	0.009000000000000001	0.003	0.003	0.003	9.9215716796875	0.28371289672851563	-0.017357962036132813	2.872467041015625	-3.734588623046875	-0.86212158203125	9.787496386718749	0.2723404388427734	0.22505495605468748	0.766754150390625	-5.157470703125	-2.899169921875	10.112509262084961	-0.3393780853271484	-0.354341845703125	3.51715087890625	-4.634857177734375	-1.781463623046875	IMU1|LSM6DS3|0x6A|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
3	0.012	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.003	9.8694977935791	0.011971008300781249	0.018555062866210937	5.5389404296875	-5.512237548828125	-1.25885009765625	9.74859060974121	0.6314706878662109	0.1227028350830078	1.155853271484375	-5.19561767578125	-3.406524658203125	9.87668039855957	0.15682020874023436	-0.14125789794921875	3.7078857421875	-4.596710205078125	-2.231597900390625	IMU2|LSM6DS3|0x6B|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
4	0.016	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.006	9.919776028442381	0.38187516479492184	-0.031124621582031248	3.543853759765625	-4.03594970703125	-0.6866455078125	9.789890588378906	0.2765302917480469	0.23403321228027343	0.4425048828125	-4.993438720703125	-2.81524658203125	9.909600671386718	-0.034715924072265626	-0.2232593048095703	3.509521484375	-4.57000732421875	-1.76239013671875	IMU3|LSM6DS3|0x6B|I2C-2|±2g (±19,6m/s²)|±125º/s|400Hz
5	0.02	0.0	0.0	0.0	0.0	0.003	0.006	0.006	0.006	9.894038360595703	0.49021278991699213	0.0143652099609375	5.809783935546875	-5.603790283203125	-1.178741455078125	9.771335525512695	0.6248866333007812	0.10953472595214843	1.1749267578125	-4.817962646484375	-3.376007080078125	9.880271701049804	0.17836802368164062	-0.14963760375976562	3.772735595703125	-4.364013671875	-2.35748291015625	ADC|ADS1015|0|0|1|0|±6,144 V|2400 SPS
6	0.024	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.003	9.924564431762695	0.49021278991699213	-0.05386953735351562	3.582000732421875	-4.4403076171875	-0.659942626953125	9.744999307250977	0.5279214660644531	0.10354922180175781	0.87738037109375	-5.413055419921875	-2.5634765625	9.894038360595703	0.013766659545898436	-0.24839842224121092	3.688812255859375	-4.764556884765625	-1.918792724609375	Gen1|Disabled
7	0.028	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.006	9.893439810180663	0.5135562561035156	0.014963760375976562	5.79833984375	-5.596160888671875	-1.01470947265625	9.77492682800293	0.6649895111083984	0.13168109130859373	1.361846923828125	-4.940032958984375	-3.50189208984375	9.967061511230469	-0.0047884033203125	-0.2154781494140625	3.803253173828125	-4.283905029296875	-2.62451171875	Gen2|Enabled|Noise|0.0|10.0|1668
8	0.032	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.006	9.926360083007811	0.3082534637451172	-0.0718260498046875	5.05828857421875	-5.451202392578125	-0.946044921875	9.757568865966796	0.5111620544433594	0.10773907470703124	0.507354736328125	-5.138397216796875	-2.54058837890625	9.913191973876952	0.01975216369628906	-0.28371289672851563	3.551483154296875	-4.596710205078125	-1.811981201171875	Gen3|Enabled|Noise|0.0|10.0|128
9	0.036000000000000004	0.0	0.0	0.0	0.0	0.009000000000000001	0.003	0.003	0.006	9.89583401184082	0.5578489868164063	0.004189852905273437	6.137847900390625	-5.9661865234375	-1.049041748046875	9.829993466186522	0.4070142822265625	0.06105214233398437	0.98419189453125	-4.634857177734375	-3.3416748046875	9.973047015380859	-0.008978256225585938	-0.26815058593749996	3.66973876953125	-4.3487548828125	-2.50244140625	Gen4|Enabled|Noise|0.0|10.0|128
