Fs_[Hz]   	1000,00000000
Tempo[s]  	Eixo_x 	Eixo_y 	Eixo_z 	Sinal_4
0,00000000	-0,00240040	-0,01330605	0,00410839	0,00000000
0,00100000	0,00384065	-0,00697599	0,00423289	0,00000000
0,00200000	0,00420071	-0,01149746	-0,00510437	0,00000000
0,00300000	0,00120020	-0,00697599	-0,00348591	0,00000000
0,00400000	0,00312053	0,00012918	0,00323692	0,00000000
0,00500000	-0,00264045	-0,00710517	-0,00448188	0,00000000
0,00600000	0,00504085	-0,00620088	0,00485538	0,00000000
0,00700000	-0,00108018	-0,00710517	0,00161846	0,00000000
0,00800000	0,00060010	-0,01149746	-0,00124497	0,00000000
0,00900000	0,00012002	-0,01614812	-0,00460638	0,00000000
0,01000000	-0,00108018	-0,00620088	0,00248994	0,00000000
0,01100000	0,00060010	-0,01110991	-0,00062248	0,00000000
0,01200000	-0,00816138	-0,00788028	0,00024899	0,00000000
0,01300000	0,00348059	-0,00723436	0,00672283	0,00000000
0,01400000	-0,00192032	-0,01227257	0,00659833	0,00000000
0,01500000	-0,00360061	-0,00904295	-0,00311242	0,00000000
0,01600000	0,00216036	-0,01369361	-0,00672283	0,00000000
0,01700000	-0,00612103	-0,00103348	0,00248994	0,00000000
0,01800000	0,00552093	-0,00335881	-0,00186745	0,00000000
0,01900000	0,00480081	-0,00490903	-0,00784330	0,00000000
0,02000000	0,00660111	-0,00904295	0,00435739	0,00000000
0,02100000	-0,00288049	-0,01911937	-0,00348591	0,00000000
0,02200000	-0,00564095	-0,00710517	-0,00199195	0,00000000
0,02300000	-0,00420071	-0,00206696	0,01045773	0,00000000
0,02400000	0,00312053	-0,00800947	0,00273893	0,00000000
0,02500000	-0,00144024	-0,00762191	0,00473088	0,00000000
0,02600000	-0,00252042	-0,00477984	0,00074698	0,00000000
0,02700000	0,00300051	-0,00348799	0,00024899	0,00000000
0,02800000	-0,00144024	-0,00697599	0,00398390	0,00000000
0,02900000	-0,00840142	0,00103348	0,00398390	0,00000000
0,03000000	-0,00396067	-0,00490903	0,00136946	0,00000000
0,03100000	-0,00372063	-0,00723436	-0,00161846	0,00000000
0,03200000	-0,00036006	-0,00335881	0,00361041	0,00000000
0,03300000	0,00120020	-0,00710517	0,00771880	0,00000000
0,03400000	-0,00072012	-0,00671762	-0,00074698	0,00000000
0,03500000	0,00648109	-0,01149746	-0,00049799	0,00000000
0,03600000	0,00300051	-0,00930132	-0,00859028	0,00000000
0,03700000	-0,00492083	-0,01395198	-0,00460638	0,00000000
0,03800000	-0,00588099	-0,01085154	0,00012450	0,00000000
0,03900000	-0,00048008	-0,01046398	0,00460638	0,00000000
0,04000000	0,00816138	-0,00245451	0,01045773	0,00000000
0,04100000	0,00612103	-0,00413392	-0,00834129	0,00000000
0,04200000	0,00384065	-0,00516740	0,00112047	0,00000000
0,04300000	-0,00048008	-0,01085154	0,00224094	0,00000000
0,04400000	0,00156026	0,00012918	-0,00622484	0,00000000
0,04500000	0,00576097	-0,01007643	0,00473088	0,00000000
0,04600000	0,00276047	-0,00620088	0,00585135	0,00000000
0,04700000	0,00732123	-0,00025837	0,00348591	0,00000000
0,04800000	0,00504085	-0,01317687	0,00186745	0,00000000
0,04900000	0,00816138	-0,01511464	0,00024899	0,00000000
0,05000000	0,00012002	-0,00736354	0,00298792	0,00000000
0,05100000	0,00912154	0,00167940	0,00796780	0,00000000
0,05200000	-0,00048008	-0,00477984	-0,00062248	0,00000000
0,05300000	-0,00612103	-0,00271288	-0,00560236	0,00000000
0,05400000	-0,00300051	0,00361718	0,00560236	0,00000000
0,05500000	0,00084014	-0,00800947	-0,00136946	0,00000000
0,05600000	-0,00516087	-0,00490903	0,00124497	0,00000000
0,05700000	0,00240040	-0,00555495	-0,00161846	0,00000000
0,05800000	0,00168028	-0,00374636	0,00323692	0,00000000
0,05900000	0,00492083	-0,01020561	0,00597585	0,00000000
0,06000000	-0,00072012	-0,01007643	-0,00423289	0,00000000
0,06100000	0,00420071	-0,01136828	-0,00273893	0,00000000
0,06200000	0,00036006	-0,01072235	0,00834129	0,00000000
0,06300000	-0,00264045	-0,01343524	0,00199195	0,00000000
0,06400000	0,00564095	0,00258370	0,00286343	0,00000000
0,06500000	0,00264045	-0,00891376	0,00186745	0,00000000
0,06600000	-0,00360061	-0,00697599	0,01020874	0,00000000
0,06700000	-0,00408069	-0,00529658	-0,01132921	0,00000000
0,06800000	0,00300051	-0,00361718	-0,00099597	0,00000000
0,06900000	0,00300051	-0,01511464	0,00211645	0,00000000
0,07000000	0,00828140	-0,00155022	0,00522887	0,00000000
0,07100000	-0,00588099	-0,01072235	0,00311242	0,00000000
0,07200000	0,00516087	0,00245451	0,00410839	0,00000000
0,07300000	-0,00216036	-0,01162665	-0,00112047	0,00000000
0,07400000	0,00660111	-0,00038755	0,01045773	0,00000000
0,07500000	-0,02544429	-0,04327696	-0,02564634	0,00000000
0,07600000	-0,00888150	-0,02234900	-0,00199195	0,00000000
0,07700000	0,00840142	0,00542577	0,00622484	0,00000000
0,07800000	0,00252042	-0,00594251	0,00211645	0,00000000
