Fs_[Hz]   	1000,00000000
Tempo[s]  	Eixo_x 	Eixo_y 	Eixo_z 	Sinal_4
0,00000000	0,00120020	-0,00529658	-0,00224094	0,00000000
0,00100000	-0,00096016	-0,01692323	-0,00161846	0,00000000
0,00200000	-0,00288049	-0,00193777	0,01269867	0,00000000
0,00300000	-0,00816138	0,00167940	-0,00224094	0,00000000
0,00400000	0,00660111	-0,00633006	0,00024899	0,00000000
0,00500000	-0,00720121	-0,00400473	-0,00448188	0,00000000
0,00600000	0,00420071	0,01110991	0,01045773	0,00000000
0,00700000	0,00792134	0,00930132	0,00995974	0,00000000
0,00800000	-0,00228038	0,00038755	-0,00211645	0,00000000
0,00900000	0,01008170	-0,00245451	-0,00136946	0,00000000
0,01000000	0,00948160	0,00994724	0,00136946	0,00000000
0,01100000	0,00672113	0,00038755	0,00000000	0,00000000
0,01200000	-0,00276047	-0,00284207	-0,00385940	0,00000000
0,01300000	0,00600101	0,00206696	0,00361041	0,00000000
0,01400000	0,00408069	0,00180859	0,00510437	0,00000000
0,01500000	-0,00300051	0,00503821	-0,00634934	0,00000000
0,01600000	0,00216036	-0,00465066	-0,00697182	0,00000000
0,01700000	0,01248210	0,00490903	0,00311242	0,00000000
0,01800000	0,00324055	-0,00955969	0,00373490	0,00000000
0,01900000	0,00144024	0,00542577	0,00659833	0,00000000
0,02000000	0,00612103	-0,00258370	0,00099597	0,00000000
0,02100000	-0,00540091	0,00477984	0,00037349	0,00000000
0,02200000	-0,00180030	-0,00116266	0,00112047	0,00000000
0,02300000	-0,00192032	-0,00297125	0,00161846	0,00000000
0,02400000	0,00048008	-0,00335881	0,00448188	0,00000000
0,02500000	0,01320223	0,00103348	0,00385940	0,00000000
0,02600000	-0,00084014	-0,00258370	-0,00423289	0,00000000
0,02700000	0,00276047	-0,00542577	0,00361041	0,00000000
0,02800000	-0,00636107	0,00077511	0,00771880	0,00000000
0,02900000	0,00204034	0,00038755	0,00423289	0,00000000
0,03000000	-0,01020172	-0,01110991	0,00186745	0,00000000
0,03100000	-0,00516087	-0,00943050	0,00448188	0,00000000
0,03200000	-0,00240040	0,00051674	0,00659833	0,00000000
0,03300000	-0,00228038	-0,00284207	-0,00273893	0,00000000
0,03400000	-0,00108018	0,00103348	-0,00597585	0,00000000
0,03500000	-0,00132022	-0,01175583	-0,00460638	0,00000000
0,03600000	0,01176198	0,00206696	0,00946176	0,00000000
0,03700000	-0,00024004	-0,00413392	0,01058223	0,00000000
0,03800000	-0,00108018	-0,00529658	-0,00336141	0,00000000
0,03900000	-0,00648109	-0,01098072	0,00746981	0,00000000
0,04000000	0,00120020	-0,00284207	0,00709632	0,00000000
0,04100000	0,00360061	-0,01433953	0,00199195	0,00000000
0,04200000	0,00120020	-0,00994724	-0,00722081	0,00000000
0,04300000	0,00120020	-0,00904295	0,00410839	0,00000000
0,04400000	-0,00552093	0,00103348	-0,00224094	0,00000000
0,04500000	-0,00240040	-0,00968887	0,00622484	0,00000000
0,04600000	-0,00792134	-0,00943050	0,00024899	0,00000000
0,04700000	0,00300051	-0,00426310	0,00597585	0,00000000
0,04800000	-0,00024004	-0,00516740	0,00597585	0,00000000
0,04900000	-0,00312053	-0,00723436	0,00560236	0,00000000
0,05000000	0,00516087	-0,01059317	-0,00261443	0,00000000
0,05100000	-0,00384065	-0,00710517	0,00809229	0,00000000
0,05200000	-0,00096016	-0,01627731	-0,00286343	0,00000000
0,05300000	-0,00504085	-0,01149746	-0,00261443	0,00000000
0,05400000	-0,00336057	-0,00064592	0,00572685	0,00000000
0,05500000	-0,00828140	-0,00348799	0,00410839	0,00000000
0,05600000	0,00060010	-0,01085154	-0,00298792	0,00000000
0,05700000	0,00072012	-0,01072235	0,00049799	0,00000000
0,05800000	0,00192032	-0,00310044	0,00846578	0,00000000
0,05900000	-0,00360061	-0,01743997	0,00012450	0,00000000
0,06000000	-0,00516087	-0,01240176	0,00634934	0,00000000
0,06100000	0,00120020	-0,01886100	-0,00398390	0,00000000
0,06200000	-0,00108018	-0,00620088	0,00385940	0,00000000
0,06300000	-0,00636107	-0,01459790	0,01257418	0,00000000
0,06400000	-0,00696117	-0,01317687	0,00722081	0,00000000
0,06500000	-0,00576097	-0,01033480	0,00535336	0,00000000
0,06600000	-0,00396067	-0,01098072	0,00211645	0,00000000
0,06700000	-0,01152194	-0,00762191	0,00099597	0,00000000
0,06800000	0,00276047	-0,01743997	0,00336141	0,00000000
0,06900000	-0,00516087	-0,01472709	0,00037349	0,00000000
0,07000000	-0,00060010	-0,00245451	0,01132921	0,00000000
0,07100000	-0,00300051	-0,00955969	0,00348591	0,00000000
0,07200000	0,00096016	-0,01278931	0,00012450	0,00000000
0,07300000	-0,00048008	-0,00775110	0,00174296	0,00000000
0,07400000	0,00252042	0,00103348	0,01207619	0,00000000
0,07500000	-0,00036006	-0,01343524	0,00759430	0,00000000
0,07600000	-0,00552093	-0,01795671	-0,00136946	0,00000000
0,07700000	0,00204034	-0,00116266	0,00846578	0,00000000
0,07800000	-0,00276047	-0,00245451	0,01344565	0,00000000
0,07900000	-0,00948160	-0,01989448	0,00298792	0,00000000
0,08000000	-0,00648109	-0,01098072	-0,00759430	0,00000000
0,08100000	-0,01044176	-0,01718160	0,00634934	0,00000000
0,08200000	-0,00396067	-0,00891376	0,00460638	0,00000000
0,08300000	0,00192032	-0,01550220	-0,00809229	0,00000000
0,08400000	0,00048008	-0,00917213	0,00796780	0,00000000
0,08500000	-0,00024004	-0,00813865	-0,00049799	0,00000000
0,08600000	-0,01056178	-0,00917213	0,00087148	0,00000000
0,08700000	-0,00528089	-0,00775110	0,00510437	0,00000000
0,08800000	0,00432073	-0,01304768	0,00896377	0,00000000
0,08900000	0,00108018	-0,00994724	0,00074698	0,00000000
0,09000000	-0,00216036	-0,01911937	0,00112047	0,00000000
0,09100000	-0,00072012	-0,00116266	0,00497987	0,00000000
0,09200000	-0,00516087	-0,01627731	-0,00087148	0,00000000
0,09300000	-0,00432073	-0,01123909	0,00186745	0,00000000
0,09400000	-0,00612103	-0,01227257	0,00622484	0,00000000
0,09500000	-0,00036006	-0,01278931	0,00385940	0,00000000
0,09600000	-0,00216036	-0,01369361	-0,00199195	0,00000000
0,09700000	-0,00540091	-0,01588975	0,00199195	0,00000000
0,09800000	-0,00408069	-0,00865539	0,00211645	0,00000000
0,09900000	-0,00504085	-0,00155022	-0,00510437	0,00000000
0,10000000	0,00840142	-0,01253094	0,00012450	0,00000000
