	time	dac1	dac2	dac3	dac4	adc1.3	adc2.3	adc3.3	adc4.3	imu1accx	imu1accy	imu1accz	imu1gyrox	imu1gyroy	imu1gyroz	imu2accx	imu2accy	imu2accz	imu2gyrox	imu2gyroy	imu2gyroz	imu3accx	imu3accy	imu3accz	imu3gyrox	imu3gyroy	imu3gyroz	log
0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.803058697509766	0.16519991455078123	0.1640028137207031	2.216339111328125	-3.5400390625	-0.762939453125	9.76894132385254	0.5680243438720702	0.19991583862304688	0.98419189453125	-4.93621826171875	-3.147125244140625	10.050260018920898	0.30705636291503907	-0.22206220397949217	3.482818603515625	-4.596710205078125	-2.170562744140625	Estabilizou em 4s, 454  rpm
1	0.004	0.0	0.0	0.0	0.0	0.003	0.006	0.006	0.003	9.858125335693359	0.09995791931152344	0.13347674255371092	2.109527587890625	-3.376007080078125	-1.079559326171875	9.815029705810547	0.4333505004882812	0.13587094421386717	1.03759765625	-4.993438720703125	-2.960205078125	10.082581741333007	0.15203180541992187	-0.2807201446533203	3.66973876953125	-4.67681884765625	-2.124786376953125	Started
2	0.008	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.785102185058593	0.15382745666503905	0.19393033447265623	2.376556396484375	-3.528594970703125	-0.965118408203125	9.76116016845703	0.5979518646240234	0.23582886352539062	1.071929931640625	-5.214691162109375	-2.8839111328125	10.03050785522461	0.32082302246093747	-0.20470424194335937	3.25775146484375	-4.474639892578125	-2.12860107421875	IMU1|LSM6DS3|0x6A|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
3	0.012	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.003	9.854534033203125	0.04967968444824218	0.18315642700195311	1.71661376953125	-3.16619873046875	-0.91552734375	9.805452899169921	0.3872621185302734	0.21487959899902342	0.8087158203125	-5.100250244140625	-2.948760986328125	10.089165795898436	0.076614453125	-0.25258827514648435	3.345489501953125	-4.695892333984375	-2.02178955078125	IMU2|LSM6DS3|0x6B|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
4	0.016	0.0	0.0	0.0	0.0	0.003	0.006	0.006	0.003	9.891045608520507	0.18734627990722655	0.06284779357910156	2.223968505859375	-3.208160400390625	-1.026153564453125	9.769539874267577	0.612915625	0.2328361114501953	1.064300537109375	-5.046844482421875	-3.0517578125	10.00417163696289	0.2980781066894531	-0.1562216583251953	3.559112548828125	-4.79888916015625	-2.532958984375	IMU3|LSM6DS3|0x6B|I2C-2|±2g (±19,6m/s²)|±125º/s|400Hz
5	0.02	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.009000000000000001	9.84435867614746	0.022744915771484374	0.1879448303222656	1.636505126953125	-3.0975341796875	-0.823974609375	9.809044201660155	0.36631285400390623	0.2166752502441406	0.690460205078125	-4.726409912109375	-2.960205078125	10.086173043823242	0.04848258361816406	-0.25737667846679685	3.604888916015625	-4.57000732421875	-2.162933349609375	ADC|ADS1015|0|0|1|0|±6,144 V|2400 SPS
6	0.024	0.0	0.0	0.0	0.0	0.003	0.003	0.003	0.006	9.892841259765625	0.17657237243652343	0.05626373901367187	2.223968505859375	-3.4637451171875	-0.95367431640625	9.7683427734375	0.5159504577636719	0.229843359375	1.18255615234375	-4.924774169921875	-3.376007080078125	9.974244116210937	0.2825157958984375	-0.14604630126953125	3.490447998046875	-4.619598388671875	-2.64739990234375	Gen1|Disabled
7	0.028	0.0	0.0	0.0	0.0	0.0	0.006	0.003	0.006	9.8449572265625	-0.010773907470703125	0.201112939453125	1.33514404296875	-2.925872802734375	-0.827789306640625	9.821015209960937	0.3387795349121094	0.23403321228027343	0.77056884765625	-4.93621826171875	-2.887725830078125	9.964068759155273	0.1149216796875	-0.16280571289062498	3.60107421875	-4.7760009765625	-2.155303955078125	Gen2|Enabled|Noise|0.0|10.0|1668
8	0.032	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.006	9.890447058105469	0.17357962036132812	0.06703764648437499	1.9683837890625	-3.337860107421875	-0.934600830078125	9.7683427734375	0.5129577056884765	0.23223756103515625	0.69427490234375	-4.962921142578125	-3.22723388671875	9.97125136413574	0.27353753967285155	-0.14245499877929688	3.711700439453125	-4.53948974609375	-2.44903564453125	Gen3|Enabled|Noise|0.0|10.0|128
9	0.036000000000000004	0.0	0.0	0.0	0.0	0.009000000000000001	0.003	0.003	0.006	9.90122096557617	0.2747346405029297	-0.003591302490234375	3.253936767578125	-3.932952880859375	-0.8392333984375	9.759963067626952	0.3758896606445312	0.1771709228515625	0.972747802734375	-4.978179931640625	-2.902984619140625	9.926360083007811	0.10414777221679687	-0.15083470458984374	3.72314453125	-4.87518310546875	-2.155303955078125	Gen4|Enabled|Noise|0.0|10.0|128
10	0.04	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.003	9.886257205200195	0.18255787658691405	0.07242460021972656	2.147674560546875	-3.284454345703125	-0.99945068359375	9.783905084228515	0.5183446594238281	0.23044190979003906	0.84686279296875	-5.0201416015625	-3.253936767578125	9.97903251953125	0.2825157958984375	-0.14544775085449219	3.589630126953125	-4.5928955078125	-2.132415771484375	Ctrl|Disabled
11	0.044	0.0	0.0	0.0	0.0	0.003	0.006	0.006	0.003	9.907206469726562	0.2759317413330078	-0.020949264526367185	3.406524658203125	-4.17327880859375	-0.86212158203125	9.76116016845703	0.34656069030761716	0.17896657409667968	0.6561279296875	-4.85992431640625	-2.468109130859375	9.937133990478515	0.08858546142578125	-0.19572598571777342	3.543853759765625	-4.642486572265625	-2.197265625	
12	0.048	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.006	9.8694977935791	0.21068974609375	0.06284779357910156	4.45556640625	-4.89044189453125	-1.102447509765625	9.785102185058593	0.5303156677246094	0.20709844360351562	1.071929931640625	-4.955291748046875	-3.055572509765625	9.964667309570311	0.1640028137207031	-0.15023615417480468	3.444671630859375	-4.43267822265625	-2.38037109375	
13	0.052000000000000005	0.0	0.0	0.0	0.0	0.006	0.003	0.006	0.006	9.916783276367187	0.28730419921875	-0.05566518859863281	3.559112548828125	-4.302978515625	-0.74005126953125	9.745597857666015	0.36152445068359373	0.19572598571777342	0.79345703125	-5.0048828125	-2.7313232421875	9.932345587158203	0.10594342346191406	-0.1945288848876953	3.4637451171875	-4.489898681640625	-2.044677734375	
