,Classificação,Rotação,RMS_a1_X,RMS_a1_Y,RMS_a1_Z,RMS_a2_X,RMS_a2_Y,RMS_a2_Z,RMS_a3_X,RMS_a3_Y,RMS_a3_Z,RMS_g1_X,RMS_g1_Y,RMS_g1_Z,RMS_g2_X,RMS_g2_Y,RMS_g2_Z,RMS_g3_X,RMS_g3_Y,RMS_g3_Z,FC_a1_X,FC_a1_Y,FC_a1_Z,FC_a2_X,FC_a2_Y,FC_a2_Z,FC_a3_X,FC_a3_Y,FC_a3_Z,FC_g1_X,FC_g1_Y,FC_g1_Z,FC_g2_X,FC_g2_Y,FC_g2_Z,FC_g3_X,FC_g3_Y,FC_g3_Z,FI_a1_X,FI_a1_Y,FI_a1_Z,FI_a2_X,FI_a2_Y,FI_a2_Z,FI_a3_X,FI_a3_Y,FI_a3_Z,FI_g1_X,FI_g1_Y,FI_g1_Z,FI_g2_X,FI_g2_Y,FI_g2_Z,FI_g3_X,FI_g3_Y,FI_g3_Z,KU_a1_X,KU_a1_Y,KU_a1_Z,KU_a2_X,KU_a2_Y,KU_a2_Z,KU_a3_X,KU_a3_Y,KU_a3_Z,KU_g1_X,KU_g1_Y,KU_g1_Z,KU_g2_X,KU_g2_Y,KU_g2_Z,KU_g3_X,KU_g3_Y,KU_g3_Z
10,Normal,1350.754,0.2051627219047626,0.6984442556406188,0.1305200605109532,0.0818188596194224,0.6877941363857469,0.1965032986912847,0.1673140889148681,0.3069302704067235,0.2981607560050426,3.401265241357137,3.800262725617349,0.6764401124316091,0.3809277231681592,5.23827848053901,3.865945804389592,2.781585374822697,4.5913182595175694,1.5456781128660488,2.3815461919558727,2.3472590311281083,3.3247689987617144,3.3963372170746777,1.8222960952793752,2.8815225820535626,2.978998287894432,2.8725246297284905,3.374566328452853,2.080479740801067,1.508708845729337,2.667422841254188,3.3647807793820803,1.1353182270098454,1.246257161963785,1.323411783311799,1.1606975990024444,1.5918448452154246,2.7513616459956016,2.821640198122615,4.112541834477284,4.270679229852756,1.8745394219042169,3.4261955466701446,3.4577151076620223,3.5469087714837206,4.152155119179943,2.2326898532611232,1.5335000899898257,3.067795027188577,4.124582017804445,1.13612049902435,1.2490194752100785,1.3292780023086734,1.161886657748611,1.629329342781591,1.8824456368798368,2.107052806864181,2.7835066876801484,2.8377548184452506,3.1064328201025693,2.950046021128224,1.866417683434208,2.711922629517341,2.68128450857872,2.8449851896017018,2.769992661344805,2.974497854664133,3.0183326211875143,4.010677485464184,3.3181869711120178,2.8601400491861124,3.196311745563716,2.7977664654619616
11,Normal,1442.801,0.092616104140197,0.6445529625987734,0.1366431003370333,0.0833533460542417,0.6852387856341017,0.2013276897884046,0.1724718833675452,0.3027796717900687,0.3062144429989371,3.4241442596292275,3.793958517552376,0.7051240423618051,0.4112582927006537,5.248275904321607,3.8664038114225456,2.773595059563466,4.584185995124244,1.5446847716825802,3.453106616949238,2.1377033934721443,3.740855214661892,3.315682686118819,1.7295136332375818,2.8838253853610234,2.6330996382600773,3.064119654485264,3.6923853850117503,2.535597310816172,1.6781231810714523,2.499404403820417,3.914333825398364,1.11207697971829,1.25794905314931,1.3781127302548062,1.1932927426427404,1.8669900718132535,4.297374784755469,2.316273805700248,4.663364087509613,4.168856033830325,1.775840178688985,3.4513235292024675,3.094948288909809,3.7547649178021407,4.525001772631716,2.7596763273121625,1.7113623798047344,2.941513542422737,4.864665467791765,1.1128619492569864,1.2606941470964088,1.3848930011211829,1.1945532370893286,1.9115508239896597,2.8353210372366893,2.8740641838727283,2.9147803395078955,2.86776028809543,2.8913985159673667,3.25694758202663,1.8647850177823,2.673789557166013,2.679121185645549,2.7245918925450345,2.8048603411648068,2.6913376668422644,3.082063448572168,2.978638875699615,3.0780522391104648,2.8252993171379712,3.203702343868021,2.901569884233447
12,Normal,1533.066,0.1013653303949676,0.6351263266976774,0.1471931659041468,0.0908113454624563,0.6946273341155222,0.2119115794772391,0.1784450467142588,0.2618827884433615,0.3247062647715432,3.530029230555093,3.846723807667302,0.7343412918486317,0.4361077701534394,5.245369622554883,3.8644907967039313,2.795377553100028,4.592211783328446,1.5501018297456122,3.5152537457486366,2.460636676474754,3.3385374091829747,3.83118248905868,1.791444493687689,3.106981969400527,2.7361534340831293,2.9072400383973656,3.377034813674041,2.458460174827561,1.733446733821035,3.111637173986368,3.402638838115694,1.1279654027703303,1.2575846526924932,1.363280092212649,1.1729320844080189,1.7128096012316287,4.340987140673521,2.717605126875001,4.178763533900412,4.764772381083227,1.8613261021843852,3.7628655794949832,3.230241715917833,3.482374585236047,4.114135829362175,2.6994008872545088,1.774125776180027,3.6723953581903617,4.228904398495423,1.1288692703879903,1.2610694977973849,1.370127543925,1.174407888827156,1.745338991976456,2.809949435663793,2.900198648427736,2.8940999405581924,2.803862529321813,2.6846347707913645,3.1516338230237158,2.0029317299569525,2.730972278069569,2.6562056077776197,2.89788069567159,2.8853085856392435,2.9922506779939626,3.02691272329106,3.2773665766329083,3.060477215141744,2.935337932086288,3.4837555830914098,2.77282779380569
13,Normal,1640.789,0.1216859479498324,0.6581065061149758,0.167604170701238,0.1014265375488035,0.6869719820531951,0.2363445812671622,0.1845189461057849,0.2805623344029711,0.3427508615042326,3.6825114438962734,3.880650170526863,0.8042017243849464,0.4725462700832655,5.247564308715879,3.864514624248141,2.790791022658063,4.597712978028869,1.545419133643882,4.590792174898191,2.368348080864309,3.8890523979826246,3.949531185310426,1.813150239364257,3.1200804663025354,2.785571379289967,3.266228474234924,3.1608272156226933,2.7440873465280826,1.952247287598893,3.007352500090612,3.681125136843191,1.1674756988529271,1.261525334871061,1.3641536898265294,1.2179915563886117,1.7945195913100658,5.768292046570255,2.663781653377765,4.854187171038556,4.941798841535987,1.8687872477765828,3.812636165577343,3.316147020115665,3.9786281918681112,3.8895120703808286,3.134964666853494,2.0241619296928857,3.652098977642703,4.580263083883098,1.168706153507152,1.2650073623824425,1.371795661276985,1.2198348469921598,1.8339597891072372,3.2002235215636103,2.6953153420693403,2.9223609774862744,2.8037684484163243,2.864940911804062,2.871887288734664,2.138044798874509,2.9869956630670544,2.7511611348511127,2.8661006920651246,2.9141815968313014,2.7231032240370365,3.162427052749482,3.3403593048303373,2.9757212177049723,2.7661265037577363,3.2800294509624823,3.221899564385462
14,Normal,1708.271,0.1214990626705117,0.6733617052555546,0.1787560155214398,0.1119511135694953,0.6892678410432642,0.2665830262380667,0.1906602936861895,0.2912737866635163,0.3578017146205549,3.7558573273954696,3.885364824558469,0.8508947291775206,0.4868651777437097,5.24169142599908,3.870063685862668,2.763454142029029,4.573905424832271,1.5483654008679095,3.50912382818738,2.3333593627532445,3.211135839809624,3.674471538707844,1.871371428640635,3.4240341398158702,3.04745330272973,3.1317299197037154,3.566527025217256,2.572682434806104,1.8242064360936023,2.909570879330381,3.6668843900195447,1.2626648953487132,1.306044108632399,1.391452380290524,1.223497289272677,1.6753113568483131,4.391663894510022,2.680584602313574,3.980581073519964,4.584102771286855,1.937919665271364,4.232974007041449,3.6190485518991817,3.84883085449096,4.408343265201135,2.983176907925946,1.897458794098556,3.5734973140955475,4.56701212014755,1.264419852105875,1.310967923731547,1.3995078397430238,1.2256155146382102,1.7179907996539765,2.9501014078012804,2.497896403464241,2.8043877607353966,2.8177070698958357,2.88081129697344,2.8689265756076257,2.190002108587654,2.8444426622641417,2.9243949790623,2.608848511278824,2.6632346591827383,2.4543626497685445,3.054968838036579,3.48599591107144,2.998610513940756,2.9499192552582083,3.086860331465857,2.859202514499978
15,Normal,1793.2,0.134004024756618,0.6833039598525706,0.1932923642894876,0.1112231514319182,0.6962052532738917,0.2784670240570256,0.2016177233022823,0.3082915215314131,0.4013427283467694,3.558450118358082,3.859442431418483,0.7805777578150093,0.5550750143586796,5.241933004218827,3.8695447849432254,2.799072258346631,4.604483900993148,1.5549162632431444,3.0476602789364056,2.279261165510691,3.8955311291626216,3.816914771817839,1.8312306292403744,3.0866074678202398,2.7630821138507016,2.970507039767724,2.9991446203643264,2.4956413435612914,1.775177738962786,3.0348379495006594,4.116567316130079,1.2022053463370486,1.283545252963553,1.324683823767269,1.2526533678141278,1.8301719696601144,3.738822359828484,2.615988212168105,4.78611615424534,4.818984504336709,1.9113883930446285,3.829088271683946,3.3141232931524542,3.641986534647432,3.716937553970451,2.7882777354585566,1.8293952443057528,3.6182232601065536,5.115880238866342,1.2040988340649763,1.2885016566449872,1.332852848109077,1.255037581403132,1.8835777271226104,2.590507585583462,2.5271686986636546,2.706173700900877,3.1344859269058167,2.7796946356677465,3.0924310418693155,2.32406496677441,2.7896999340627398,2.7249131111314897,2.883001200155435,2.872136087895481,2.8857808344194456,2.869400915191226,3.177518797602314,2.9540301789540355,2.694326237278127,3.2358614895873754,2.9478052991256063
16,Normal,1871.052,0.1892844383270371,0.6636697536451338,0.2970723275694316,0.1251530462914901,0.7071229144908473,0.3231100904485956,0.199564888707514,0.2978804878137397,0.4048997385941128,4.122674910442756,4.056961885159919,0.8447570188908251,0.6493485971667742,5.251787041445848,3.878054361841726,2.766547607714779,4.583662320679951,1.545406905768955,2.891217284391242,2.4125287485763844,2.8006145295032425,3.829565889463704,1.9350048212827464,3.4881932345528632,3.0494425383470958,2.9457280498208998,2.983145263918405,2.5519681486270405,2.0404167701664147,3.030056937076697,3.8948945114295936,1.2820285020495628,1.3092549992351283,1.39954856146779,1.2658337667760222,1.8142810671855216,3.4337163975169,2.719762946478319,3.337004838897089,4.801385334242121,2.053557055468678,4.314575888417692,3.673606467402358,3.617587893073382,3.690174553668085,3.0586262576077505,2.2157743528917795,3.6969371068905175,4.841550581424219,1.2843043887264125,1.3165453849099962,1.4091953397424186,1.2684767270798516,1.8655239000261932,2.274910346183542,3.000669091031432,2.280820912997836,3.042395936806445,2.80861234099522,2.9212501115600773,2.356173515420475,2.7434382587894968,2.839033754641493,2.502939544140433,2.464130641442196,2.773131938484985,2.881565189200158,3.741476297757065,2.820651688005731,2.7110140639223865,3.137378485752636,3.125096088831113
17,Normal,1959.723,0.174108308207385,0.788751027950997,0.2814933663675208,0.117055788870372,0.6979523457322862,0.3072083876556948,0.198283587666149,0.3127595948096995,0.4142138775597482,4.719883538667975,4.257499693997075,1.121251448852755,0.6001095607653836,5.236295909290713,3.878378981998605,2.767579461540244,4.582823087619959,1.5438981968918972,2.974777451766283,2.8517902100997867,2.913084877221924,3.2943566175793806,1.927841264858965,2.9322714184593988,3.3800697345796347,3.0582069394686355,3.574997862289249,2.836846988415842,2.1450113705897835,3.2082540675109303,4.39245761588094,1.2493957415468246,1.31701405725948,1.3687030263830215,1.3085174764354313,1.820995639754918,3.618965289791032,3.403352927517458,3.536122654414991,4.1190294787819015,2.032988677844728,3.62498615038514,4.088001863901953,3.7579627420805295,4.446182501234652,3.4694134141163016,2.4118982142684438,3.9745560972978073,5.509488119917078,1.2514291101529065,1.324459029210108,1.3785003914774523,1.311518738699414,1.8794883303411127,2.481074190386645,2.703721599143019,2.46349623436022,2.797391016301428,2.7097824444207825,2.6824843639837668,2.366842168057524,2.7683493803534747,2.887274772956974,2.37889563708698,2.3150846910305813,2.75393693726319,2.9565104150493315,3.329768520864885,2.7607351465882197,2.8051663751719587,3.4959862948487235,2.9149929441838123
18,Normal,2040.12,0.1597364475168822,0.9427122727570936,0.2324393798245523,0.1220802232921383,0.702157011345424,0.3030396504910707,0.205951893975777,0.3307066157335633,0.4295794238770595,4.88365342111161,4.217256453006662,1.4233563857319618,0.6790204080167244,5.256466836503968,3.878214427362064,2.7877442180574805,4.5954659933160285,1.5633736008534962,3.2611606780640465,2.702870420228244,3.321855513395373,3.2591600004115624,1.908624933765955,3.1859257291694103,2.91418516911157,2.78907692103235,2.983142039329569,3.083062782943085,2.422370892351234,3.114243394760717,3.842672324545559,1.2068641827394484,1.3495294668370033,1.3451188914032777,1.2219075025616977,1.8495518446551515,4.094805342057038,3.2963224284968278,4.140433224120046,4.099862172182607,2.012888962248308,3.91563018584314,3.5379553985813588,3.458596936325008,3.6920718921066578,3.794160587870914,2.7199193977582503,3.839504736931145,4.821084208270838,1.2093419667114624,1.3583685004245398,1.355540478672646,1.2249598892210187,1.917794910303872,2.870422096831792,2.462637263171358,2.823766581192122,2.990238149704241,2.678841169640087,2.958378968288804,2.440195676484112,2.527953438587738,2.792348885548482,2.706756170163186,2.7754581940949463,2.516526045357802,2.9570907260591,3.097974173600902,3.100734019024438,2.767256047135864,2.877632396867268,2.9957535732128115
19,Normal,2105.897,0.1565587535684982,0.8348827444971678,0.2447928477856968,0.1172113090345037,0.7021595487219061,0.3042771172846143,0.2188075731514066,0.3273203440087219,0.4838202517874216,4.61896995976163,4.155436190013271,1.253484341443373,0.7038138454165102,5.2455728905243255,3.881027448629474,2.795044222247479,4.603342860818418,1.5775793940159972,3.679084347252942,2.6289732138016277,3.1639986383041783,3.685620080611074,1.9478303768050549,3.1946072142986903,3.065757250938851,3.185487373709541,2.892418961776312,3.3770076997741723,2.384050276752411,3.1741355807168787,3.902426826549,1.2180972513915818,1.2954742172383324,1.4453311229002752,1.2794816193808014,1.8401512026285936,4.61335473852449,3.194752903679289,3.948136016031752,4.662822932894799,2.0543595217271218,3.9481143864037054,3.7498121619353135,3.966139821227728,3.590270581709829,4.144805663452727,2.634424636384477,3.932471582897104,4.846618003031828,1.2202147403106207,1.3030302670796818,1.458071160481453,1.2831350512938222,1.9077023041835084,2.930950179108608,2.488868534220535,2.8870217416909725,3.224417169472092,2.71070133093537,3.3761360165839625,2.4730998537368403,2.794450675455688,2.519924855106148,2.762042543827203,2.696924502774241,2.6374074284169016,2.948532089986213,3.2190755312953603,2.8247446366382447,2.86280693001652,3.1619200295251537,2.8210689719732853
